left,right,left_split,right_split,days_apart,n_common,n_union,jaccard,sufficient,r_norm_flat,rmse_norm,r_raw_a,r_raw_c,r_raw_magnitude,r_raw_baseline,null_r_mean,actual_minus_null
sub-C_ses-CO-20150309,sub-C_ses-CO-20150311,train,train,2,42,60,0.7,True,0.617246095346375,0.8535749316215515,0.48618718232150765,0.730332070582231,0.49784197813804226,0.8554052700166467,-0.0005951150548703388,0.6178412104012453
sub-C_ses-CO-20150309,sub-C_ses-CO-20150312,train,train,3,42,63,0.6666666666666666,True,0.6462729220819502,0.8396210670471191,0.5015536740058529,0.7803591181242255,0.583012671930226,0.8249401661013482,-0.0051609188900354815,0.6514338409719856
sub-C_ses-CO-20150309,sub-C_ses-CO-20150313,train,train,4,39,61,0.639344262295082,True,0.6117656529881494,0.8412993550300598,0.5897161254955108,0.6579240002441631,0.5065932408994664,0.8187401866502406,0.0019020401508227291,0.6098636128373267
sub-C_ses-CO-20150309,sub-C_ses-CO-20150319,train,train,10,32,59,0.5423728813559322,True,0.6195342433579881,0.8801771998405457,0.6358729607800039,0.6862294476068147,0.5141970275731048,0.7615321375996743,-0.0095000149189414,0.6290342582769295
sub-C_ses-CO-20150309,sub-C_ses-CO-20150629,train,train,112,26,57,0.45614035087719296,True,0.387860529434484,0.9988382458686829,0.42950998129637274,0.46229049693767316,0.6591460332252173,0.10169147785926863,-0.010686704297443122,0.39854723373192713
sub-C_ses-CO-20150309,sub-C_ses-CO-20150630,train,train,113,22,57,0.38596491228070173,True,0.1636304258182817,1.3529449701309204,0.18162235784551187,0.2874637784615131,0.12133626206262067,0.09659327192091088,-0.007876278237080127,0.1715067040553618
sub-C_ses-CO-20150309,sub-C_ses-CO-20150701,train,train,114,26,56,0.4642857142857143,True,0.2946847249047473,1.1527466773986816,0.4294410386770656,0.37340312613883864,0.3841265540845396,0.12183412416773864,-0.01823279330995113,0.31291751821469843
sub-C_ses-CO-20150309,sub-C_ses-CO-20150703,train,train,116,27,57,0.47368421052631576,True,0.40501675085458233,1.1112158298492432,0.43074267412395995,0.5118156901319837,0.575528769742685,0.23015918964947274,-0.03020674344574137,0.4352234943003237
sub-C_ses-CO-20150309,sub-C_ses-CO-20150706,train,train,119,23,56,0.4107142857142857,True,0.33937529471027783,1.1213425397872925,0.4435448218067938,0.31797585557347363,0.5622251039712313,0.10795156483114396,0.006074570822781875,0.33330072388749593
sub-C_ses-CO-20150309,sub-C_ses-CO-20150707,train,train,120,24,52,0.46153846153846156,True,0.28955917738373105,1.1111595630645752,0.3358151634251122,0.38444820263683455,0.38242320430756055,0.12382461091843891,0.0018494748345524114,0.28770970254917866
sub-C_ses-CO-20150309,sub-C_ses-CO-20150708,train,train,121,32,56,0.5714285714285714,True,0.37576445894943106,1.118516445159912,0.39319724258638117,0.4744689855497071,0.45049916784077537,0.3293658359784202,-0.011621514166840216,0.38738597311627126
sub-C_ses-CO-20150309,sub-C_ses-CO-20150709,train,train,122,26,55,0.4727272727272727,True,0.3253544475642575,1.2791869640350342,0.33811879151768726,0.45526379956131774,0.43496612648320476,0.1836029792058548,-0.010448840799584615,0.33580328836384216
sub-C_ses-CO-20150309,sub-C_ses-CO-20150710,train,train,123,24,53,0.4528301886792453,True,0.3382790593522843,1.1739965677261353,0.33209788434568355,0.40696453051811815,0.6181314906078758,0.12299082411745635,0.0013849486380788784,0.33689411071420544
sub-C_ses-CO-20150309,sub-C_ses-CO-20150713,train,train,126,26,57,0.45614035087719296,True,0.379124444360283,1.152119517326355,0.4585871721787318,0.4534336145715829,0.5271904326284002,0.15770805017143064,-0.015192506779638465,0.39431695113992143
sub-C_ses-CO-20150309,sub-C_ses-CO-20150714,train,train,127,29,56,0.5178571428571429,True,0.3195478256949572,1.161993384361267,0.15995643028746837,0.4412237102122685,0.43595859077939,0.25426304846826375,-0.0063580586252049145,0.3259058843201621
sub-C_ses-CO-20150309,sub-C_ses-CO-20150715,train,train,128,28,56,0.5,True,0.2784001735490035,1.0699747800827026,0.2579683331484821,0.36646784568076374,0.3694665732998481,0.18095803559455273,-0.004765716654564486,0.28316589020356797
sub-C_ses-CO-20150309,sub-C_ses-CO-20150716,train,train,129,26,57,0.45614035087719296,True,0.36261463357557316,1.1575469970703125,0.4148574963122445,0.44768399486679156,0.5167219969731399,0.15316063027617638,-0.0033683525328828466,0.36598298610845603
sub-C_ses-CO-20150309,sub-C_ses-CO-20151103,train,dev,239,21,53,0.39622641509433965,True,0.05845724317991228,1.2538262605667114,0.36445941017218586,-0.08671797278054755,-0.03230729432226476,-0.13911657048983098,0.02519502124220912,0.03326222193770316
sub-C_ses-CO-20150309,sub-C_ses-CO-20151104,train,dev,240,27,62,0.43548387096774194,True,0.12824181883870142,1.4210045337677002,0.3614993347831535,0.18395472393423984,0.038760445245931224,-0.12082742996007326,-0.006718179451718824,0.13495999829042024
sub-C_ses-CO-20150309,sub-C_ses-CO-20151106,train,dev,242,29,59,0.4915254237288136,True,0.26401115281363363,1.3004201650619507,0.4202219993252493,0.3472112766071886,0.1791433931896618,0.13992205552924789,0.008715740993275595,0.25529541182035803
