session,split,n_channels,n_odd_finite,n_even_finite,r_norm_flat,rmse_norm,r_raw_a,r_raw_c,r_raw_magnitude,r_raw_baseline
sub-C_ses-CO-20150309,train,49,17,16,0.831272864870091,0.41219574213027954,0.6516240985663068,0.8143417861782374,0.8007825118897337,0.9937677914643401
sub-C_ses-CO-20150311,train,53,17,16,0.9285721900256011,0.39727768301963806,0.9115761486645169,0.8719476947622324,0.9338078565617051,0.9965487521937669
sub-C_ses-CO-20150312,train,56,17,16,0.8939525036799488,0.4787513017654419,0.8867595231718265,0.8257649961394179,0.8784929116238122,0.9923443918934947
sub-C_ses-CO-20150313,train,51,17,15,0.8380299832415997,0.5693545341491699,0.8439913805039233,0.7602093817915372,0.8092905733539199,0.9836672297888807
sub-C_ses-CO-20150319,train,42,17,16,0.856850297509632,0.5623013377189636,0.8415557773197673,0.8089168004053602,0.8249158824673531,0.9906474306870168
sub-C_ses-CO-20150629,train,34,17,16,0.8569816227135942,0.5439901947975159,0.9039117990487161,0.7377739205538756,0.8925693327998053,0.9927526587268649
sub-C_ses-CO-20150630,train,30,17,16,0.8476106543955586,0.6660544276237488,0.7081430944666628,0.8704917110558706,0.8455593057090578,0.9894004625309973
sub-C_ses-CO-20150701,train,33,17,16,0.8437421204842074,0.5892733931541443,0.7382683914001007,0.8130175288134223,0.8809732491442639,0.9942086124018468
sub-C_ses-CO-20150703,train,35,17,16,0.8819729593342607,0.507341742515564,0.8372683435098006,0.8939257006649177,0.8394490972440122,0.994559307895509
sub-C_ses-CO-20150706,train,30,17,16,0.9118264124349613,0.4331209659576416,0.9171505452326246,0.8699769231535115,0.8721097947962354,0.9955305362355215
sub-C_ses-CO-20150707,train,27,17,16,0.8385804849853905,0.6005399227142334,0.8416081169433572,0.7402237021936241,0.7978644083994897,0.9894305316802635
sub-C_ses-CO-20150708,train,39,17,16,0.9259684670733342,0.41747578978538513,0.9238960249688835,0.9094685610354156,0.8994073928735633,0.9969342007216827
sub-C_ses-CO-20150709,train,32,17,16,0.8500123794636021,0.6695379018783569,0.8550894416897493,0.8112898181364155,0.7952504474238292,0.9950084174032593
sub-C_ses-CO-20150710,train,28,17,16,0.9056317585772569,0.46906304359436035,0.7567951869917479,0.9216358235394276,0.9353801671839032,0.9914453214335155
sub-C_ses-CO-20150713,train,34,17,16,0.9161946046198771,0.4357907474040985,0.9026957288324039,0.9022712323789227,0.8746573391978141,0.9937766050193066
sub-C_ses-CO-20150714,train,36,17,16,0.9590939205523747,0.3014799654483795,0.9299507041972063,0.9522693383861236,0.9548081886070946,0.9953384543879086
sub-C_ses-CO-20150715,train,35,17,16,0.8917433012966933,0.44218140840530396,0.8529965841303552,0.8955001305458802,0.8260672885264351,0.9925372621899335
sub-C_ses-CO-20150716,train,34,17,16,0.9207957978367214,0.4497620463371277,0.8942425206928954,0.8783812205949275,0.926875018671834,0.9974197377040581
sub-C_ses-CO-20151103,dev,25,17,16,0.9096620374634498,0.5282317399978638,0.9063847436967277,0.9079827977284343,0.9031379850716165,0.9952840126892947
sub-C_ses-CO-20151104,dev,40,17,16,0.9394425714901856,0.45245012640953064,0.9400543168943445,0.9217382409985987,0.9450505609690745,0.9920269467920471
sub-C_ses-CO-20151106,dev,39,17,16,0.9397273877733773,0.4354807436466217,0.9099875345871455,0.9577649513243431,0.9331119899210109,0.9961843555631965
sub-C_ses-CO-20151109,dev,41,17,16,0.8961988914544835,0.5932072997093201,0.8398191433962272,0.9269412808756431,0.8939763436784285,0.9925554118290254
sub-C_ses-CO-20151110,dev,39,17,16,0.9337698402590201,0.5189927816390991,0.9215984900563768,0.9361964805879376,0.9393026373468792,0.9946189723173448
sub-C_ses-CO-20151112,dev,33,17,16,0.9526292865335008,0.470154732465744,0.9323664857125447,0.943382928465675,0.9713980080984821,0.9937028284319148
