session_a,session_b,date_a,date_b,split_a,split_b,days,nunits_a,nunits_b,kernel_cosine_similarity,mmd2,mmd2_unclipped
sub-C_ses-CO-20150309,sub-C_ses-CO-20150311,20150309,20150311,train,train,2,74,88,0.9961309712160145,0.007875880825864101,0.007875880825864101
sub-C_ses-CO-20150309,sub-C_ses-CO-20150312,20150309,20150312,train,train,3,74,91,0.9751993835138876,0.036271619397456156,0.036271619397456156
sub-C_ses-CO-20150309,sub-C_ses-CO-20150313,20150309,20150313,train,train,4,74,86,0.9838086497965299,0.02434700424675973,0.02434700424675973
sub-C_ses-CO-20150309,sub-C_ses-CO-20150319,20150309,20150319,train,train,10,74,72,0.9740572247335332,0.04123620493477387,0.04123620493477387
sub-C_ses-CO-20150309,sub-C_ses-CO-20150629,20150309,20150629,train,train,112,74,49,0.9847419344783961,0.023985836303242802,0.023985836303242802
sub-C_ses-CO-20150309,sub-C_ses-CO-20150630,20150309,20150630,train,train,113,74,44,0.9863888633496715,0.026437355061427414,0.026437355061427414
sub-C_ses-CO-20150309,sub-C_ses-CO-20150701,20150309,20150701,train,train,114,74,49,0.9649113879404556,0.05297288924868604,0.05297288924868604
sub-C_ses-CO-20150309,sub-C_ses-CO-20150703,20150309,20150703,train,train,116,74,52,0.95846496172859,0.06338537346717166,0.06338537346717166
sub-C_ses-CO-20150309,sub-C_ses-CO-20150706,20150309,20150706,train,train,119,74,46,0.9659709724499643,0.0537028162549269,0.0537028162549269
sub-C_ses-CO-20150309,sub-C_ses-CO-20150707,20150309,20150707,train,train,120,74,42,0.9673236509142094,0.05183720623291044,0.05183720623291044
sub-C_ses-CO-20150309,sub-C_ses-CO-20150708,20150309,20150708,train,train,121,74,64,0.9697199865395348,0.047512601340854,0.047512601340854
sub-C_ses-CO-20150309,sub-C_ses-CO-20150709,20150309,20150709,train,train,122,74,61,0.9748022246795033,0.037066830905810644,0.037066830905810644
sub-C_ses-CO-20150309,sub-C_ses-CO-20150710,20150309,20150710,train,train,123,74,55,0.9761685846693828,0.03543632852338163,0.03543632852338163
sub-C_ses-CO-20150309,sub-C_ses-CO-20150713,20150309,20150713,train,train,126,74,58,0.9762521449106968,0.037727758934381406,0.037727758934381406
sub-C_ses-CO-20150309,sub-C_ses-CO-20150714,20150309,20150714,train,train,127,74,66,0.9883689045681371,0.022986463378999566,0.022986463378999566
