session,date,split,local_row,channel_index
sub-C_ses-CO-20150309,20150309,train,0,1
sub-C_ses-CO-20150309,20150309,train,1,1
sub-C_ses-CO-20150309,20150309,train,2,3
sub-C_ses-CO-20150309,20150309,train,3,3
sub-C_ses-CO-20150309,20150309,train,4,5
sub-C_ses-CO-20150309,20150309,train,5,5
sub-C_ses-CO-20150309,20150309,train,6,7
sub-C_ses-CO-20150309,20150309,train,7,7
sub-C_ses-CO-20150309,20150309,train,8,9
sub-C_ses-CO-20150309,20150309,train,9,14
sub-C_ses-CO-20150309,20150309,train,10,14
sub-C_ses-CO-20150309,20150309,train,11,18
sub-C_ses-CO-20150309,20150309,train,12,20
sub-C_ses-CO-20150309,20150309,train,13,20
sub-C_ses-CO-20150309,20150309,train,14,20
sub-C_ses-CO-20150309,20150309,train,15,22
sub-C_ses-CO-20150309,20150309,train,16,23
sub-C_ses-CO-20150309,20150309,train,17,23
sub-C_ses-CO-20150309,20150309,train,18,25
sub-C_ses-CO-20150309,20150309,train,19,27
sub-C_ses-CO-20150309,20150309,train,20,27
sub-C_ses-CO-20150309,20150309,train,21,31
sub-C_ses-CO-20150309,20150309,train,22,31
sub-C_ses-CO-20150309,20150309,train,23,35
sub-C_ses-CO-20150309,20150309,train,24,36
sub-C_ses-CO-20150309,20150309,train,25,37
sub-C_ses-CO-20150309,20150309,train,26,37
sub-C_ses-CO-20150309,20150309,train,27,39
sub-C_ses-CO-20150309,20150309,train,28,39
sub-C_ses-CO-20150309,20150309,train,29,41
sub-C_ses-CO-20150309,20150309,train,30,41
sub-C_ses-CO-20150309,20150309,train,31,42
sub-C_ses-CO-20150309,20150309,train,32,43
sub-C_ses-CO-20150309,20150309,train,33,43
sub-C_ses-CO-20150309,20150309,train,34,45
sub-C_ses-CO-20150309,20150309,train,35,45
sub-C_ses-CO-20150309,20150309,train,36,49
sub-C_ses-CO-20150309,20150309,train,37,49
sub-C_ses-CO-20150309,20150309,train,38,51
sub-C_ses-CO-20150309,20150309,train,39,51
sub-C_ses-CO-20150309,20150309,train,40,52
sub-C_ses-CO-20150309,20150309,train,41,53
sub-C_ses-CO-20150309,20150309,train,42,54
sub-C_ses-CO-20150309,20150309,train,43,55
sub-C_ses-CO-20150309,20150309,train,44,60
sub-C_ses-CO-20150309,20150309,train,45,61
sub-C_ses-CO-20150309,20150309,train,46,62
sub-C_ses-CO-20150309,20150309,train,47,62
sub-C_ses-CO-20150309,20150309,train,48,64
sub-C_ses-CO-20150309,20150309,train,49,65
sub-C_ses-CO-20150309,20150309,train,50,65
sub-C_ses-CO-20150309,20150309,train,51,66
sub-C_ses-CO-20150309,20150309,train,52,66
sub-C_ses-CO-20150309,20150309,train,53,67
sub-C_ses-CO-20150309,20150309,train,54,68
sub-C_ses-CO-20150309,20150309,train,55,70
sub-C_ses-CO-20150309,20150309,train,56,79
sub-C_ses-CO-20150309,20150309,train,57,80
sub-C_ses-CO-20150309,20150309,train,58,80
sub-C_ses-CO-20150309,20150309,train,59,82
sub-C_ses-CO-20150309,20150309,train,60,83
sub-C_ses-CO-20150309,20150309,train,61,84
sub-C_ses-CO-20150309,20150309,train,62,84
sub-C_ses-CO-20150309,20150309,train,63,84
sub-C_ses-CO-20150309,20150309,train,64,85
sub-C_ses-CO-20150309,20150309,train,65,86
sub-C_ses-CO-20150309,20150309,train,66,87
sub-C_ses-CO-20150309,20150309,train,67,88
sub-C_ses-CO-20150309,20150309,train,68,88
sub-C_ses-CO-20150309,20150309,train,69,89
sub-C_ses-CO-20150309,20150309,train,70,90
sub-C_ses-CO-20150309,20150309,train,71,90
sub-C_ses-CO-20150309,20150309,train,72,91
sub-C_ses-CO-20150309,20150309,train,73,93
sub-C_ses-CO-20150311,20150311,train,0,0
sub-C_ses-CO-20150311,20150311,train,1,1
sub-C_ses-CO-20150311,20150311,train,2,2
sub-C_ses-CO-20150311,20150311,train,3,3
sub-C_ses-CO-20150311,20150311,train,4,3
sub-C_ses-CO-20150311,20150311,train,5,5
sub-C_ses-CO-20150311,20150311,train,6,6
sub-C_ses-CO-20150311,20150311,train,7,7
sub-C_ses-CO-20150311,20150311,train,8,7
sub-C_ses-CO-20150311,20150311,train,9,8
sub-C_ses-CO-20150311,20150311,train,10,9
sub-C_ses-CO-20150311,20150311,train,11,9
sub-C_ses-CO-20150311,20150311,train,12,10
sub-C_ses-CO-20150311,20150311,train,13,14
sub-C_ses-CO-20150311,20150311,train,14,14
sub-C_ses-CO-20150311,20150311,train,15,14
sub-C_ses-CO-20150311,20150311,train,16,16
sub-C_ses-CO-20150311,20150311,train,17,16
sub-C_ses-CO-20150311,20150311,train,18,20
sub-C_ses-CO-20150311,20150311,train,19,20
sub-C_ses-CO-20150311,20150311,train,20,22
sub-C_ses-CO-20150311,20150311,train,21,23
sub-C_ses-CO-20150311,20150311,train,22,23
sub-C_ses-CO-20150311,20150311,train,23,25
sub-C_ses-CO-20150311,20150311,train,24,25
sub-C_ses-CO-20150311,20150311,train,25,27
sub-C_ses-CO-20150311,20150311,train,26,27
sub-C_ses-CO-20150311,20150311,train,27,31
sub-C_ses-CO-20150311,20150311,train,28,36
sub-C_ses-CO-20150311,20150311,train,29,36
sub-C_ses-CO-20150311,20150311,train,30,37
sub-C_ses-CO-20150311,20150311,train,31,37
sub-C_ses-CO-20150311,20150311,train,32,37
sub-C_ses-CO-20150311,20150311,train,33,38
sub-C_ses-CO-20150311,20150311,train,34,39
sub-C_ses-CO-20150311,20150311,train,35,39
sub-C_ses-CO-20150311,20150311,train,36,39
sub-C_ses-CO-20150311,20150311,train,37,41
sub-C_ses-CO-20150311,20150311,train,38,45
sub-C_ses-CO-20150311,20150311,train,39,45
sub-C_ses-CO-20150311,20150311,train,40,45
sub-C_ses-CO-20150311,20150311,train,41,45
sub-C_ses-CO-20150311,20150311,train,42,46
sub-C_ses-CO-20150311,20150311,train,43,49
sub-C_ses-CO-20150311,20150311,train,44,49
sub-C_ses-CO-20150311,20150311,train,45,49
sub-C_ses-CO-20150311,20150311,train,46,50
sub-C_ses-CO-20150311,20150311,train,47,51
sub-C_ses-CO-20150311,20150311,train,48,52
sub-C_ses-CO-20150311,20150311,train,49,53
sub-C_ses-CO-20150311,20150311,train,50,54
sub-C_ses-CO-20150311,20150311,train,51,54
sub-C_ses-CO-20150311,20150311,train,52,55
sub-C_ses-CO-20150311,20150311,train,53,59
sub-C_ses-CO-20150311,20150311,train,54,60
sub-C_ses-CO-20150311,20150311,train,55,62
sub-C_ses-CO-20150311,20150311,train,56,62
sub-C_ses-CO-20150311,20150311,train,57,62
sub-C_ses-CO-20150311,20150311,train,58,64
sub-C_ses-CO-20150311,20150311,train,59,65
sub-C_ses-CO-20150311,20150311,train,60,65
sub-C_ses-CO-20150311,20150311,train,61,66
sub-C_ses-CO-20150311,20150311,train,62,66
sub-C_ses-CO-20150311,20150311,train,63,70
sub-C_ses-CO-20150311,20150311,train,64,79
sub-C_ses-CO-20150311,20150311,train,65,80
sub-C_ses-CO-20150311,20150311,train,66,80
sub-C_ses-CO-20150311,20150311,train,67,81
sub-C_ses-CO-20150311,20150311,train,68,82
sub-C_ses-CO-20150311,20150311,train,69,83
sub-C_ses-CO-20150311,20150311,train,70,84
sub-C_ses-CO-20150311,20150311,train,71,84
sub-C_ses-CO-20150311,20150311,train,72,84
sub-C_ses-CO-20150311,20150311,train,73,85
sub-C_ses-CO-20150311,20150311,train,74,86
sub-C_ses-CO-20150311,20150311,train,75,87
sub-C_ses-CO-20150311,20150311,train,76,87
sub-C_ses-CO-20150311,20150311,train,77,88
sub-C_ses-CO-20150311,20150311,train,78,89
sub-C_ses-CO-20150311,20150311,train,79,89
sub-C_ses-CO-20150311,20150311,train,80,89
sub-C_ses-CO-20150311,20150311,train,81,90
sub-C_ses-CO-20150311,20150311,train,82,90
sub-C_ses-CO-20150311,20150311,train,83,90
sub-C_ses-CO-20150311,20150311,train,84,91
sub-C_ses-CO-20150311,20150311,train,85,91
sub-C_ses-CO-20150311,20150311,train,86,93
sub-C_ses-CO-20150311,20150311,train,87,93
sub-C_ses-CO-20150312,20150312,train,0,0
sub-C_ses-CO-20150312,20150312,train,1,1
sub-C_ses-CO-20150312,20150312,train,2,2
sub-C_ses-CO-20150312,20150312,train,3,3
sub-C_ses-CO-20150312,20150312,train,4,3
sub-C_ses-CO-20150312,20150312,train,5,3
sub-C_ses-CO-20150312,20150312,train,6,5
sub-C_ses-CO-20150312,20150312,train,7,6
sub-C_ses-CO-20150312,20150312,train,8,7
sub-C_ses-CO-20150312,20150312,train,9,7
sub-C_ses-CO-20150312,20150312,train,10,8
sub-C_ses-CO-20150312,20150312,train,11,9
sub-C_ses-CO-20150312,20150312,train,12,10
sub-C_ses-CO-20150312,20150312,train,13,12
sub-C_ses-CO-20150312,20150312,train,14,14
sub-C_ses-CO-20150312,20150312,train,15,14
sub-C_ses-CO-20150312,20150312,train,16,16
sub-C_ses-CO-20150312,20150312,train,17,16
sub-C_ses-CO-20150312,20150312,train,18,16
sub-C_ses-CO-20150312,20150312,train,19,20
sub-C_ses-CO-20150312,20150312,train,20,20
sub-C_ses-CO-20150312,20150312,train,21,22
sub-C_ses-CO-20150312,20150312,train,22,23
sub-C_ses-CO-20150312,20150312,train,23,23
sub-C_ses-CO-20150312,20150312,train,24,25
sub-C_ses-CO-20150312,20150312,train,25,25
sub-C_ses-CO-20150312,20150312,train,26,27
sub-C_ses-CO-20150312,20150312,train,27,31
sub-C_ses-CO-20150312,20150312,train,28,31
sub-C_ses-CO-20150312,20150312,train,29,33
sub-C_ses-CO-20150312,20150312,train,30,36
sub-C_ses-CO-20150312,20150312,train,31,37
sub-C_ses-CO-20150312,20150312,train,32,37
sub-C_ses-CO-20150312,20150312,train,33,37
sub-C_ses-CO-20150312,20150312,train,34,38
sub-C_ses-CO-20150312,20150312,train,35,39
sub-C_ses-CO-20150312,20150312,train,36,39
sub-C_ses-CO-20150312,20150312,train,37,43
sub-C_ses-CO-20150312,20150312,train,38,43
sub-C_ses-CO-20150312,20150312,train,39,43
sub-C_ses-CO-20150312,20150312,train,40,44
sub-C_ses-CO-20150312,20150312,train,41,45
sub-C_ses-CO-20150312,20150312,train,42,45
sub-C_ses-CO-20150312,20150312,train,43,45
sub-C_ses-CO-20150312,20150312,train,44,47
sub-C_ses-CO-20150312,20150312,train,45,47
sub-C_ses-CO-20150312,20150312,train,46,49
sub-C_ses-CO-20150312,20150312,train,47,49
sub-C_ses-CO-20150312,20150312,train,48,52
sub-C_ses-CO-20150312,20150312,train,49,53
sub-C_ses-CO-20150312,20150312,train,50,53
sub-C_ses-CO-20150312,20150312,train,51,54
sub-C_ses-CO-20150312,20150312,train,52,54
sub-C_ses-CO-20150312,20150312,train,53,54
sub-C_ses-CO-20150312,20150312,train,54,55
sub-C_ses-CO-20150312,20150312,train,55,58
sub-C_ses-CO-20150312,20150312,train,56,59
sub-C_ses-CO-20150312,20150312,train,57,59
sub-C_ses-CO-20150312,20150312,train,58,60
sub-C_ses-CO-20150312,20150312,train,59,61
sub-C_ses-CO-20150312,20150312,train,60,62
sub-C_ses-CO-20150312,20150312,train,61,62
sub-C_ses-CO-20150312,20150312,train,62,64
sub-C_ses-CO-20150312,20150312,train,63,65
sub-C_ses-CO-20150312,20150312,train,64,65
sub-C_ses-CO-20150312,20150312,train,65,65
sub-C_ses-CO-20150312,20150312,train,66,66
sub-C_ses-CO-20150312,20150312,train,67,66
sub-C_ses-CO-20150312,20150312,train,68,68
sub-C_ses-CO-20150312,20150312,train,69,69
sub-C_ses-CO-20150312,20150312,train,70,70
sub-C_ses-CO-20150312,20150312,train,71,79
sub-C_ses-CO-20150312,20150312,train,72,80
sub-C_ses-CO-20150312,20150312,train,73,80
sub-C_ses-CO-20150312,20150312,train,74,80
sub-C_ses-CO-20150312,20150312,train,75,82
sub-C_ses-CO-20150312,20150312,train,76,84
sub-C_ses-CO-20150312,20150312,train,77,84
sub-C_ses-CO-20150312,20150312,train,78,84
sub-C_ses-CO-20150312,20150312,train,79,85
sub-C_ses-CO-20150312,20150312,train,80,86
sub-C_ses-CO-20150312,20150312,train,81,87
sub-C_ses-CO-20150312,20150312,train,82,87
sub-C_ses-CO-20150312,20150312,train,83,88
sub-C_ses-CO-20150312,20150312,train,84,89
sub-C_ses-CO-20150312,20150312,train,85,89
sub-C_ses-CO-20150312,20150312,train,86,90
sub-C_ses-CO-20150312,20150312,train,87,90
sub-C_ses-CO-20150312,20150312,train,88,91
sub-C_ses-CO-20150312,20150312,train,89,91
sub-C_ses-CO-20150312,20150312,train,90,93
sub-C_ses-CO-20150313,20150313,train,0,0
sub-C_ses-CO-20150313,20150313,train,1,1
sub-C_ses-CO-20150313,20150313,train,2,1
sub-C_ses-CO-20150313,20150313,train,3,2
sub-C_ses-CO-20150313,20150313,train,4,3
sub-C_ses-CO-20150313,20150313,train,5,3
sub-C_ses-CO-20150313,20150313,train,6,5
sub-C_ses-CO-20150313,20150313,train,7,6
sub-C_ses-CO-20150313,20150313,train,8,7
sub-C_ses-CO-20150313,20150313,train,9,7
sub-C_ses-CO-20150313,20150313,train,10,8
sub-C_ses-CO-20150313,20150313,train,11,9
sub-C_ses-CO-20150313,20150313,train,12,10
sub-C_ses-CO-20150313,20150313,train,13,14
sub-C_ses-CO-20150313,20150313,train,14,14
sub-C_ses-CO-20150313,20150313,train,15,16
sub-C_ses-CO-20150313,20150313,train,16,16
sub-C_ses-CO-20150313,20150313,train,17,16
sub-C_ses-CO-20150313,20150313,train,18,20
sub-C_ses-CO-20150313,20150313,train,19,20
sub-C_ses-CO-20150313,20150313,train,20,22
sub-C_ses-CO-20150313,20150313,train,21,23
sub-C_ses-CO-20150313,20150313,train,22,23
sub-C_ses-CO-20150313,20150313,train,23,25
sub-C_ses-CO-20150313,20150313,train,24,25
sub-C_ses-CO-20150313,20150313,train,25,27
sub-C_ses-CO-20150313,20150313,train,26,31
sub-C_ses-CO-20150313,20150313,train,27,33
sub-C_ses-CO-20150313,20150313,train,28,34
sub-C_ses-CO-20150313,20150313,train,29,36
sub-C_ses-CO-20150313,20150313,train,30,37
sub-C_ses-CO-20150313,20150313,train,31,37
sub-C_ses-CO-20150313,20150313,train,32,37
sub-C_ses-CO-20150313,20150313,train,33,38
sub-C_ses-CO-20150313,20150313,train,34,39
sub-C_ses-CO-20150313,20150313,train,35,39
sub-C_ses-CO-20150313,20150313,train,36,39
sub-C_ses-CO-20150313,20150313,train,37,41
sub-C_ses-CO-20150313,20150313,train,38,43
sub-C_ses-CO-20150313,20150313,train,39,43
sub-C_ses-CO-20150313,20150313,train,40,43
sub-C_ses-CO-20150313,20150313,train,41,45
sub-C_ses-CO-20150313,20150313,train,42,45
sub-C_ses-CO-20150313,20150313,train,43,45
sub-C_ses-CO-20150313,20150313,train,44,49
sub-C_ses-CO-20150313,20150313,train,45,49
sub-C_ses-CO-20150313,20150313,train,46,49
sub-C_ses-CO-20150313,20150313,train,47,52
sub-C_ses-CO-20150313,20150313,train,48,55
sub-C_ses-CO-20150313,20150313,train,49,60
sub-C_ses-CO-20150313,20150313,train,50,62
sub-C_ses-CO-20150313,20150313,train,51,62
sub-C_ses-CO-20150313,20150313,train,52,64
sub-C_ses-CO-20150313,20150313,train,53,64
sub-C_ses-CO-20150313,20150313,train,54,65
sub-C_ses-CO-20150313,20150313,train,55,65
sub-C_ses-CO-20150313,20150313,train,56,65
sub-C_ses-CO-20150313,20150313,train,57,66
sub-C_ses-CO-20150313,20150313,train,58,66
