session,date,split,nunits,odd_trials,even_trials,kernel_cosine_similarity,mmd2,mmd2_unclipped
sub-C_ses-CO-20150309,20150309,train,74,17,16,0.9985044548606421,0.0020176998232475096,0.0020176998232475096
sub-C_ses-CO-20150311,20150311,train,88,17,16,0.9968690951032025,0.003988492132326327,0.003988492132326327
sub-C_ses-CO-20150312,20150312,train,91,17,16,0.9986327921576907,0.0016686191409274187,0.0016686191409274187
sub-C_ses-CO-20150313,20150313,train,86,17,16,0.9971725234869094,0.0031751078765014373,0.0031751078765014373
sub-C_ses-CO-20150319,20150319,train,72,17,16,0.9969456662383243,0.003985161020882089,0.003985161020882089
sub-C_ses-CO-20150629,20150629,train,49,17,16,0.9906958631342468,0.010554844071039904,0.010554844071039904
sub-C_ses-CO-20150630,20150630,train,44,17,16,0.9937829026134204,0.00694444562962282,0.00694444562962282
sub-C_ses-CO-20150701,20150701,train,49,17,16,0.9903412636533155,0.011815636978668165,0.011815636978668165
sub-C_ses-CO-20150703,20150703,train,52,17,16,0.9976563996585583,0.0023144345982456516,0.0023144345982456516
sub-C_ses-CO-20150706,20150706,train,46,17,16,0.9965580408622371,0.004060750153640935,0.004060750153640935
sub-C_ses-CO-20150707,20150707,train,42,17,16,0.9936661251316458,0.006357835100244791,0.006357835100244791
sub-C_ses-CO-20150708,20150708,train,64,17,16,0.9972035395128005,0.00289805249299091,0.00289805249299091
sub-C_ses-CO-20150709,20150709,train,61,17,16,0.9960346027410665,0.004366401570455203,0.004366401570455203
sub-C_ses-CO-20150710,20150710,train,55,17,16,0.9927891466040232,0.008193746521046652,0.008193746521046652
sub-C_ses-CO-20150713,20150713,train,58,17,16,0.99788203569989,0.0022820823470490748,0.0022820823470490748
sub-C_ses-CO-20150714,20150714,train,66,17,16,0.9987502743208476,0.0015526377086554355,0.0015526377086554355
sub-C_ses-CO-20150715,20150715,train,60,17,16,0.9962564075988724,0.004519354838618428,0.004519354838618428
sub-C_ses-CO-20150716,20150716,train,61,17,16,0.9980940149541077,0.002109423397522736,0.002109423397522736
sub-C_ses-CO-20151103,20151103,dev,38,17,16,0.9917433517232992,0.00941918850928003,0.00941918850928003
sub-C_ses-CO-20151104,20151104,dev,59,17,16,0.9966054459133831,0.0035196458727920765,0.0035196458727920765
sub-C_ses-CO-20151106,20151106,dev,60,17,16,0.9973377771938091,0.003609711154084261,0.003609711154084261
sub-C_ses-CO-20151109,20151109,dev,65,17,16,0.9937892661325144,0.006761347403658524,0.006761347403658524
sub-C_ses-CO-20151110,20151110,dev,61,17,16,0.9958369407568944,0.004126572009171325,0.004126572009171325
sub-C_ses-CO-20151112,20151112,dev,42,17,16,0.9921341037266516,0.006630649226256891,0.006630649226256891
