tag,date,source_or_held_out,fixed_column,feature_index,feature,T_source_normalized
S0_set_1,1925-01-01,source_held_in,0,0,axis_1,-0.8247985243797302
S0_set_1,1925-01-01,source_held_in,0,1,axis_2,-0.7471710443496704
S0_set_1,1925-01-01,source_held_in,0,2,axis_3,1.0509355068206787
S0_set_1,1925-01-01,source_held_in,0,3,axis_4,-0.28592172265052795
S0_set_1,1925-01-01,source_held_in,1,0,axis_1,0.0650213360786438
S0_set_1,1925-01-01,source_held_in,1,1,axis_2,-0.3556845486164093
S0_set_1,1925-01-01,source_held_in,1,2,axis_3,-0.0757591649889946
S0_set_1,1925-01-01,source_held_in,1,3,axis_4,-0.5366766452789307
S0_set_1,1925-01-01,source_held_in,2,0,axis_1,0.21001017093658447
S0_set_1,1925-01-01,source_held_in,2,1,axis_2,0.17838285863399506
S0_set_1,1925-01-01,source_held_in,2,2,axis_3,-0.5900284647941589
S0_set_1,1925-01-01,source_held_in,2,3,axis_4,0.012154203839600086
S0_set_1,1925-01-01,source_held_in,3,0,axis_1,-0.30819109082221985
S0_set_1,1925-01-01,source_held_in,3,1,axis_2,-0.01825057901442051
S0_set_1,1925-01-01,source_held_in,3,2,axis_3,-0.19623711705207825
S0_set_1,1925-01-01,source_held_in,3,3,axis_4,0.28289473056793213
S0_set_1,1925-01-01,source_held_in,4,0,axis_1,-0.01888972707092762
S0_set_1,1925-01-01,source_held_in,4,1,axis_2,0.047099560499191284
S0_set_1,1925-01-01,source_held_in,4,2,axis_3,-0.16607262194156647
S0_set_1,1925-01-01,source_held_in,4,3,axis_4,-0.3047330975532532
S0_set_1,1925-01-01,source_held_in,5,0,axis_1,-0.9449161291122437
S0_set_1,1925-01-01,source_held_in,5,1,axis_2,0.14331166446208954
S0_set_1,1925-01-01,source_held_in,5,2,axis_3,0.021671175956726074
S0_set_1,1925-01-01,source_held_in,5,3,axis_4,-0.8431568741798401
S0_set_1,1925-01-01,source_held_in,6,0,axis_1,-5.929712295532227
S0_set_1,1925-01-01,source_held_in,6,1,axis_2,1.4980727434158325
S0_set_1,1925-01-01,source_held_in,6,2,axis_3,-3.0439844131469727
S0_set_1,1925-01-01,source_held_in,6,3,axis_4,-1.0803536176681519
S0_set_1,1925-01-01,source_held_in,7,0,axis_1,0.6709895133972168
S0_set_1,1925-01-01,source_held_in,7,1,axis_2,0.24557769298553467
S0_set_1,1925-01-01,source_held_in,7,2,axis_3,0.06320591270923615
S0_set_1,1925-01-01,source_held_in,7,3,axis_4,-0.29325827956199646
S0_set_1,1925-01-01,source_held_in,8,0,axis_1,-0.004011879209429026
S0_set_1,1925-01-01,source_held_in,8,1,axis_2,-0.44783252477645874
S0_set_1,1925-01-01,source_held_in,8,2,axis_3,1.2141369581222534
S0_set_1,1925-01-01,source_held_in,8,3,axis_4,-0.47435256838798523
S0_set_1,1925-01-01,source_held_in,9,0,axis_1,0.2427169531583786
S0_set_1,1925-01-01,source_held_in,9,1,axis_2,-0.06216749921441078
S0_set_1,1925-01-01,source_held_in,9,2,axis_3,-0.10551272332668304
S0_set_1,1925-01-01,source_held_in,9,3,axis_4,0.13684417307376862
S0_set_1,1925-01-01,source_held_in,10,0,axis_1,0.0917186588048935
S0_set_1,1925-01-01,source_held_in,10,1,axis_2,-0.03254362940788269
S0_set_1,1925-01-01,source_held_in,10,2,axis_3,0.021199684590101242
S0_set_1,1925-01-01,source_held_in,10,3,axis_4,0.07224908471107483
S0_set_1,1925-01-01,source_held_in,11,0,axis_1,0.1301015168428421
S0_set_1,1925-01-01,source_held_in,11,1,axis_2,-0.2359059751033783
S0_set_1,1925-01-01,source_held_in,11,2,axis_3,-0.060498639941215515
S0_set_1,1925-01-01,source_held_in,11,3,axis_4,-0.13440512120723724
S0_set_1,1925-01-01,source_held_in,12,0,axis_1,0.16518184542655945
S0_set_1,1925-01-01,source_held_in,12,1,axis_2,0.08739212900400162
S0_set_1,1925-01-01,source_held_in,12,2,axis_3,0.0947604551911354
S0_set_1,1925-01-01,source_held_in,12,3,axis_4,-0.10629332810640335
S0_set_1,1925-01-01,source_held_in,13,0,axis_1,0.16532056033611298
S0_set_1,1925-01-01,source_held_in,13,1,axis_2,-0.12568385899066925
S0_set_1,1925-01-01,source_held_in,13,2,axis_3,0.00957697443664074
S0_set_1,1925-01-01,source_held_in,13,3,axis_4,0.030877934768795967
S0_set_1,1925-01-01,source_held_in,14,0,axis_1,0.10259374231100082
S0_set_1,1925-01-01,source_held_in,14,1,axis_2,-0.1727466881275177
S0_set_1,1925-01-01,source_held_in,14,2,axis_3,0.039750684052705765
S0_set_1,1925-01-01,source_held_in,14,3,axis_4,-0.5375311970710754
S0_set_1,1925-01-01,source_held_in,15,0,axis_1,0.14227674901485443
S0_set_1,1925-01-01,source_held_in,15,1,axis_2,-0.11821303516626358
S0_set_1,1925-01-01,source_held_in,15,2,axis_3,-0.3326472043991089
S0_set_1,1925-01-01,source_held_in,15,3,axis_4,0.021881558001041412
S0_set_1,1925-01-01,source_held_in,16,0,axis_1,-0.6179633736610413
S0_set_1,1925-01-01,source_held_in,16,1,axis_2,0.11391695588827133
S0_set_1,1925-01-01,source_held_in,16,2,axis_3,0.6792526245117188
S0_set_1,1925-01-01,source_held_in,16,3,axis_4,0.7184830904006958
S0_set_1,1925-01-01,source_held_in,17,0,axis_1,-0.49013739824295044
S0_set_1,1925-01-01,source_held_in,17,1,axis_2,-0.4621236324310303
S0_set_1,1925-01-01,source_held_in,17,2,axis_3,0.1190248653292656
S0_set_1,1925-01-01,source_held_in,17,3,axis_4,0.48281922936439514
S0_set_1,1925-01-01,source_held_in,18,0,axis_1,-5.886149301659316e-05
S0_set_1,1925-01-01,source_held_in,18,1,axis_2,0.40099507570266724
S0_set_1,1925-01-01,source_held_in,18,2,axis_3,-0.858906626701355
S0_set_1,1925-01-01,source_held_in,18,3,axis_4,-0.12312187999486923
S0_set_1,1925-01-01,source_held_in,19,0,axis_1,0.14369887113571167
S0_set_1,1925-01-01,source_held_in,19,1,axis_2,-0.04525928571820259
