order,tag,date,source_or_held_out,n_fixed_columns,profile_shape
0,S0_set_1,1925-01-01,source_held_in,176,176x4
1,S0_set_2,1925-01-01,source_held_in,176,176x4
2,S1_set_1,1925-01-08,source_held_in,176,176x4
3,S1_set_2,1925-01-08,source_held_in,176,176x4
4,S1_set_3,1925-01-08,source_held_in,176,176x4
5,S2_set_1,1925-01-13,source_held_in,176,176x4
6,S2_set_2,1925-01-13,source_held_in,176,176x4
7,S3_set_1,1925-01-15,source_held_in,176,176x4
8,S3_set_2,1925-01-15,source_held_in,176,176x4
9,S4_set_1,1925-01-19,source_held_in,176,176x4
10,S4_set_2,1925-01-19,source_held_in,176,176x4
11,S5_set_1,1925-01-20,source_held_in,176,176x4
12,S5_set_2,1925-01-20,source_held_in,176,176x4
13,S6_set_1,1925-01-26,held_out,176,176x4
14,S6_set_2,1925-01-26,held_out,176,176x4
15,S7_set_1,1925-01-27,held_out,176,176x4
16,S7_set_2,1925-01-27,held_out,176,176x4
17,S8_set_1,1925-01-29,held_out,176,176x4
18,S8_set_2,1925-01-29,held_out,176,176x4
19,S9_set_1,1925-02-02,held_out,176,176x4
20,S9_set_2,1925-02-02,held_out,176,176x4
21,S10_set_1,1925-02-03,held_out,176,176x4
22,S10_set_2,1925-02-03,held_out,176,176x4
23,S11_set_1,1925-02-06,held_out,176,176x4
24,S11_set_2,1925-02-06,held_out,176,176x4
25,S12_set_1,1925-02-09,held_out,176,176x4
26,S12_set_2,1925-02-09,held_out,176,176x4
