left_tag,right_tag,left_date,right_date,day_gap,pair_group,n_fixed_columns,flattened_r_actual,rmse_fixed_source_normalized_units,null_r_mean,null_r_sd,r_axis_1,r_axis_2,r_axis_3,r_axis_4
ses-20120924,ses-20120926,2012-09-24,2012-09-26,2,different_date,64,0.519322948652471,1.0769269466400146,0.01752258601744727,0.12536834186699938,0.5308046371398694,0.7416090079819345,0.3205797763366274,-0.1648043999647878
ses-20120924,ses-20120927,2012-09-24,2012-09-27,3,different_date,64,0.2907621218063499,1.2663443088531494,-0.005467092024998063,0.11391204153542357,0.2817121663141117,0.6387108397542413,0.33292086127629955,0.2400555279878662
ses-20120924,ses-20120928,2012-09-24,2012-09-28,4,different_date,64,0.6381078613842722,0.8957963585853577,-0.0067525520466408815,0.11132111992987029,0.670435110227121,0.8604203150550062,0.3193271196627874,0.11352325578909833
ses-20120924,20121004,2012-09-24,2012-10-04,10,different_date,64,0.6691031759432209,0.9365128874778748,-0.0016379904325022083,0.10810098837633468,0.680389553457667,0.7401321321246827,0.5536797378995698,0.30048514152695166
ses-20120924,20121017,2012-09-24,2012-10-17,23,different_date,64,0.5913841495383003,0.9354349970817566,0.008199335818878464,0.11338769971955795,0.6002859313167271,0.6502636933958464,0.4622909973310009,-0.016136632773652095
ses-20120924,20121024,2012-09-24,2012-10-24,30,different_date,64,0.3702909836302079,1.1425864696502686,-0.009050651020736716,0.1073494754439657,0.4060532852373167,0.1023885828018426,0.36624272521364765,0.2845447061561549
ses-20120926,ses-20120927,2012-09-26,2012-09-27,1,different_date,64,0.6448619100279452,0.847521960735321,-0.001956412169909235,0.11494257227714003,0.6747746707460199,0.8261110440661643,0.6475555330911367,-0.5133087538753887
ses-20120926,ses-20120928,2012-09-26,2012-09-28,2,different_date,64,0.4552869583177207,1.0059394836425781,-0.05663657084526454,0.10881596896870557,0.5548489144317554,0.7099991314355553,0.576687534630005,-0.26283931481404815
ses-20120926,20121004,2012-09-26,2012-10-04,8,different_date,64,0.5013395875149214,1.0683451890945435,0.049783456162509,0.10930613380060324,0.47689230510028835,0.7160936363105309,0.4694744815310603,0.015172205627670552
ses-20120926,20121017,2012-09-26,2012-10-17,21,different_date,64,0.430975165875988,1.001731276512146,-0.01805320784372711,0.1054460745758724,0.4583649520731495,0.6991586484502595,0.47160456538708934,0.016336686892084354
ses-20120926,20121024,2012-09-26,2012-10-24,28,different_date,64,0.29637354524102033,1.1244025230407715,-0.029361245662866225,0.11308917737765196,0.3475270138895779,0.30730889483949814,0.5601174011401979,-0.3350040770023585
ses-20120927,ses-20120928,2012-09-27,2012-09-28,1,different_date,64,0.3779132301843423,1.018302321434021,0.01246494365016134,0.11044866508850731,0.3744597895524388,0.6229364643955754,0.634780865630695,0.24994548999886665
ses-20120927,20121004,2012-09-27,2012-10-04,7,different_date,64,0.352183274527874,1.1745070219039917,0.000793607569082963,0.11121388673942344,0.347243905424449,0.7564787002489048,0.40612559474048204,-0.006600969503695694
ses-20120927,20121017,2012-09-27,2012-10-17,20,different_date,64,0.29011717751436844,1.059302568435669,-0.008059214191522668,0.1149584714559978,0.27396294013834205,0.7670231898195345,0.39826054635140506,0.055641744681853296
ses-20120927,20121024,2012-09-27,2012-10-24,27,different_date,64,0.47528901266052964,0.9289636015892029,0.010140982529999589,0.12184231097231933,0.49785218156156497,0.1912668912162507,0.45160021992005145,0.3395089334331986
ses-20120928,20121004,2012-09-28,2012-10-04,6,different_date,64,0.540550377091613,1.0066877603530884,-0.04547267577202185,0.08913179443656544,0.6136559403151093,0.759230811432995,0.5010589408814365,0.10098396486005481
ses-20120928,20121017,2012-09-28,2012-10-17,19,different_date,64,0.5224710070644455,0.8179610967636108,0.04223691920589604,0.10231762980109224,0.528162493263928,0.5831659540448457,0.4874702837443685,0.2930393250321576
ses-20120928,20121024,2012-09-28,2012-10-24,26,different_date,64,0.36164577657594227,0.9525572657585144,0.054618155603636566,0.10481125593670997,0.37530415844395765,0.006004816118567213,0.21287583047850223,0.4425409777736594
20121004,20121017,2012-10-04,2012-10-17,13,different_date,64,0.794274988220902,0.6698082685470581,-0.011933352892380865,0.1135136696541534,0.8383414578251176,0.8088087920891041,0.6257650540648951,0.2130112021411109
20121004,20121024,2012-10-04,2012-10-24,20,different_date,64,0.522686468690595,0.9678567051887512,-0.02224627197085212,0.10409698489109159,0.6018492066082333,0.20118806084179422,0.3712102527143797,-0.033924605353534316
20121017,20121024,2012-10-17,2012-10-24,7,different_date,64,0.527428086442026,0.7950023412704468,-0.0012834385020275424,0.11525109590997368,0.5412671985950199,0.4065945341332695,0.4068734029788848,0.46040192137002667
