tag,date,source_or_held_out,fixed_column,feature_index,feature,T_source_normalized
ses-20120924,2012-09-24,source_held_in,0,0,axis_1,-0.40901443362236023
ses-20120924,2012-09-24,source_held_in,0,1,axis_2,-0.27527791261672974
ses-20120924,2012-09-24,source_held_in,0,2,axis_3,0.05647651106119156
ses-20120924,2012-09-24,source_held_in,0,3,axis_4,0.06189485639333725
ses-20120924,2012-09-24,source_held_in,1,0,axis_1,-0.9596284627914429
ses-20120924,2012-09-24,source_held_in,1,1,axis_2,0.40339136123657227
ses-20120924,2012-09-24,source_held_in,1,2,axis_3,0.14033646881580353
ses-20120924,2012-09-24,source_held_in,1,3,axis_4,-0.053743522614240646
ses-20120924,2012-09-24,source_held_in,2,0,axis_1,-1.2293620109558105
ses-20120924,2012-09-24,source_held_in,2,1,axis_2,-0.16159029304981232
ses-20120924,2012-09-24,source_held_in,2,2,axis_3,0.053688645362854004
ses-20120924,2012-09-24,source_held_in,2,3,axis_4,0.025927014648914337
ses-20120924,2012-09-24,source_held_in,3,0,axis_1,2.1126163005828857
ses-20120924,2012-09-24,source_held_in,3,1,axis_2,0.47037142515182495
ses-20120924,2012-09-24,source_held_in,3,2,axis_3,0.41928577423095703
ses-20120924,2012-09-24,source_held_in,3,3,axis_4,-0.14510031044483185
ses-20120924,2012-09-24,source_held_in,4,0,axis_1,-1.717769742012024
ses-20120924,2012-09-24,source_held_in,4,1,axis_2,-0.09155669808387756
ses-20120924,2012-09-24,source_held_in,4,2,axis_3,0.11597266793251038
ses-20120924,2012-09-24,source_held_in,4,3,axis_4,-0.006247273180633783
ses-20120924,2012-09-24,source_held_in,5,0,axis_1,-1.3080196380615234
ses-20120924,2012-09-24,source_held_in,5,1,axis_2,-0.31467002630233765
ses-20120924,2012-09-24,source_held_in,5,2,axis_3,0.04463056102395058
ses-20120924,2012-09-24,source_held_in,5,3,axis_4,-0.014658967964351177
ses-20120924,2012-09-24,source_held_in,6,0,axis_1,0.1979212611913681
ses-20120924,2012-09-24,source_held_in,6,1,axis_2,1.0151780843734741
ses-20120924,2012-09-24,source_held_in,6,2,axis_3,0.6176294684410095
ses-20120924,2012-09-24,source_held_in,6,3,axis_4,0.3254634141921997
ses-20120924,2012-09-24,source_held_in,7,0,axis_1,0.9861539602279663
ses-20120924,2012-09-24,source_held_in,7,1,axis_2,0.812073826789856
ses-20120924,2012-09-24,source_held_in,7,2,axis_3,0.38536566495895386
ses-20120924,2012-09-24,source_held_in,7,3,axis_4,0.09924543648958206
ses-20120924,2012-09-24,source_held_in,8,0,axis_1,-1.125125765800476
ses-20120924,2012-09-24,source_held_in,8,1,axis_2,-0.1112646833062172
ses-20120924,2012-09-24,source_held_in,8,2,axis_3,0.07989763468503952
ses-20120924,2012-09-24,source_held_in,8,3,axis_4,-0.02303725853562355
ses-20120924,2012-09-24,source_held_in,9,0,axis_1,-0.0809364765882492
ses-20120924,2012-09-24,source_held_in,9,1,axis_2,-0.1437779814004898
ses-20120924,2012-09-24,source_held_in,9,2,axis_3,0.020973816514015198
ses-20120924,2012-09-24,source_held_in,9,3,axis_4,-0.08435792475938797
ses-20120924,2012-09-24,source_held_in,10,0,axis_1,1.2121105194091797
ses-20120924,2012-09-24,source_held_in,10,1,axis_2,0.0429997555911541
ses-20120924,2012-09-24,source_held_in,10,2,axis_3,0.20591025054454803
ses-20120924,2012-09-24,source_held_in,10,3,axis_4,-0.08582014590501785
ses-20120924,2012-09-24,source_held_in,11,0,axis_1,0.2518693804740906
ses-20120924,2012-09-24,source_held_in,11,1,axis_2,-0.11430414021015167
ses-20120924,2012-09-24,source_held_in,11,2,axis_3,0.05507252737879753
ses-20120924,2012-09-24,source_held_in,11,3,axis_4,-0.04955657199025154
ses-20120924,2012-09-24,source_held_in,12,0,axis_1,-1.35923433303833
