left_tag,right_tag,replicate,r_fixed_column_row_shuffle
ses-20120924,ses-20120926,0,0.02317348932123191
ses-20120924,ses-20120926,1,0.0374900044112326
ses-20120924,ses-20120926,2,-0.16269984092505008
ses-20120924,ses-20120926,3,-0.010937123248387855
ses-20120924,ses-20120926,4,0.09824505074924972
ses-20120924,ses-20120926,5,0.053141838814934804
ses-20120924,ses-20120926,6,0.06538410540829058
ses-20120924,ses-20120926,7,0.06150232587903461
ses-20120924,ses-20120926,8,0.10832576773422718
ses-20120924,ses-20120926,9,-0.09080867304125745
ses-20120924,ses-20120926,10,0.486957575670105
ses-20120924,ses-20120926,11,-0.10569421935439932
ses-20120924,ses-20120926,12,0.10095434486628023
ses-20120924,ses-20120926,13,0.07311978585589676
ses-20120924,ses-20120926,14,0.08473646212063693
ses-20120924,ses-20120926,15,-0.007427532008824796
ses-20120924,ses-20120926,16,-0.06827742902957706
ses-20120924,ses-20120926,17,-0.17074706810901719
ses-20120924,ses-20120926,18,0.11888599027845832
ses-20120924,ses-20120926,19,-0.052622736038228826
ses-20120924,ses-20120926,20,-0.08321226993714385
ses-20120924,ses-20120926,21,-0.042349616119299216
ses-20120924,ses-20120926,22,-0.08363243786962521
ses-20120924,ses-20120926,23,0.01063515227838577
ses-20120924,ses-20120926,24,-0.10152632430190599
ses-20120924,ses-20120926,25,-0.0806488054271828
ses-20120924,ses-20120926,26,0.0037389103569929255
ses-20120924,ses-20120926,27,-0.005130366753711462
ses-20120924,ses-20120926,28,0.0544282729429154
ses-20120924,ses-20120926,29,0.034849523814691426
ses-20120924,ses-20120926,30,0.13454524004033666
ses-20120924,ses-20120926,31,-0.06271125925292036
ses-20120924,ses-20120926,32,-0.14497444413428598
ses-20120924,ses-20120926,33,0.022107286834667474
ses-20120924,ses-20120926,34,-0.24687613309211412
ses-20120924,ses-20120926,35,-0.11029320173267211
ses-20120924,ses-20120926,36,-0.03479727806580278
ses-20120924,ses-20120926,37,0.13270408897523223
ses-20120924,ses-20120926,38,0.030222184338818785
ses-20120924,ses-20120926,39,0.08660765221780803
ses-20120924,ses-20120926,40,-0.058579191199614175
ses-20120924,ses-20120926,41,0.116970668198676
