regime,session,budget_frames,kept_frames,calib_seconds,tcn_coral_r2
own_zscore,ses-2020-10-30-Run1,200,200,4.0,0.28624263107776643
ref_raw,ses-2020-10-30-Run1,200,200,4.0,0.4048237383365631
own_zscore,ses-2020-10-30-Run1,400,400,8.0,0.2927993625402451
ref_raw,ses-2020-10-30-Run1,400,400,8.0,0.40196762681007386
own_zscore,ses-2020-10-30-Run1,800,800,16.0,0.2854286700487137
ref_raw,ses-2020-10-30-Run1,800,800,16.0,0.39453759491443635
own_zscore,ses-2020-10-30-Run1,1600,1600,32.0,0.2888490319252014
ref_raw,ses-2020-10-30-Run1,1600,1600,32.0,0.4022519618272781
own_zscore,ses-2020-10-30-Run1,3200,2182,43.6,0.2902397155761719
ref_raw,ses-2020-10-30-Run1,3200,2182,43.6,0.40310111045837405
own_zscore,ses-2020-10-30-Run1,1000000000,2182,43.6,0.2902397155761719
ref_raw,ses-2020-10-30-Run1,1000000000,2182,43.6,0.40310111045837405
own_zscore,ses-2020-10-30-Run2,200,200,4.0,0.16138732433319092
ref_raw,ses-2020-10-30-Run2,200,200,4.0,0.2699141472578049
own_zscore,ses-2020-10-30-Run2,400,400,8.0,0.17638746201992034
ref_raw,ses-2020-10-30-Run2,400,400,8.0,0.2727187693119049
own_zscore,ses-2020-10-30-Run2,800,800,16.0,0.19044404923915864
ref_raw,ses-2020-10-30-Run2,800,800,16.0,0.27051167786121366
own_zscore,ses-2020-10-30-Run2,1600,1600,32.0,0.18723772764205932
ref_raw,ses-2020-10-30-Run2,1600,1600,32.0,0.2715245097875595
own_zscore,ses-2020-10-30-Run2,3200,2040,40.8,0.1868825376033783
ref_raw,ses-2020-10-30-Run2,3200,2040,40.8,0.2723318636417389
own_zscore,ses-2020-10-30-Run2,1000000000,2040,40.8,0.1868825376033783
ref_raw,ses-2020-10-30-Run2,1000000000,2040,40.8,0.2723318636417389
own_zscore,ses-2020-11-18-Run1,200,200,4.0,0.01933821737766266
ref_raw,ses-2020-11-18-Run1,200,200,4.0,0.1374098539352417
own_zscore,ses-2020-11-18-Run1,400,400,8.0,0.047482505440711975
ref_raw,ses-2020-11-18-Run1,400,400,8.0,0.14455966055393218
own_zscore,ses-2020-11-18-Run1,800,800,16.0,0.0501732163131237
ref_raw,ses-2020-11-18-Run1,800,800,16.0,0.1678497612476349
own_zscore,ses-2020-11-18-Run1,1600,1600,32.0,0.05326084643602371
ref_raw,ses-2020-11-18-Run1,1600,1600,32.0,0.1662440687417984
own_zscore,ses-2020-11-18-Run1,3200,2014,40.3,0.050400981307029726
ref_raw,ses-2020-11-18-Run1,3200,2014,40.3,0.160493865609169
own_zscore,ses-2020-11-18-Run1,1000000000,2014,40.3,0.050400981307029726
ref_raw,ses-2020-11-18-Run1,1000000000,2014,40.3,0.160493865609169
own_zscore,ses-2020-11-19-Run1,200,200,4.0,0.035125502943992616
ref_raw,ses-2020-11-19-Run1,200,200,4.0,0.0951551377773285
own_zscore,ses-2020-11-19-Run1,400,400,8.0,0.04159794747829437
ref_raw,ses-2020-11-19-Run1,400,400,8.0,0.12018785476684571
own_zscore,ses-2020-11-19-Run1,800,800,16.0,0.041558002680540086
ref_raw,ses-2020-11-19-Run1,800,800,16.0,0.11752591282129288
own_zscore,ses-2020-11-19-Run1,1600,1600,32.0,0.0438848152756691
ref_raw,ses-2020-11-19-Run1,1600,1600,32.0,0.12078810781240464
own_zscore,ses-2020-11-19-Run1,3200,2436,48.7,0.04574229866266251
ref_raw,ses-2020-11-19-Run1,3200,2436,48.7,0.11710063219070435
own_zscore,ses-2020-11-19-Run1,1000000000,2436,48.7,0.04574229866266251
ref_raw,ses-2020-11-19-Run1,1000000000,2436,48.7,0.11710063219070435
own_zscore,ses-2020-11-24-Run1,200,200,4.0,-0.07673706542700529
ref_raw,ses-2020-11-24-Run1,200,200,4.0,0.10957390367984772
own_zscore,ses-2020-11-24-Run1,400,400,8.0,-0.06801261305809021
ref_raw,ses-2020-11-24-Run1,400,400,8.0,0.128387850522995
own_zscore,ses-2020-11-24-Run1,800,800,16.0,-0.06335786022245884
ref_raw,ses-2020-11-24-Run1,800,800,16.0,0.1254293590784073
own_zscore,ses-2020-11-24-Run1,1600,1600,32.0,-0.05425497218966484
ref_raw,ses-2020-11-24-Run1,1600,1600,32.0,0.13132383227348327
own_zscore,ses-2020-11-24-Run1,3200,1772,35.4,-0.0487593412399292
ref_raw,ses-2020-11-24-Run1,3200,1772,35.4,0.13096547424793242
own_zscore,ses-2020-11-24-Run1,1000000000,1772,35.4,-0.0487593412399292
ref_raw,ses-2020-11-24-Run1,1000000000,1772,35.4,0.13096547424793242
own_zscore,ses-2020-11-24-Run2,200,200,4.0,-0.1054194800555706
ref_raw,ses-2020-11-24-Run2,200,200,4.0,0.014144033193588257
own_zscore,ses-2020-11-24-Run2,400,400,8.0,-0.06504997499287128
ref_raw,ses-2020-11-24-Run2,400,400,8.0,0.009331888472661375
own_zscore,ses-2020-11-24-Run2,800,800,16.0,-0.061241190135478976
ref_raw,ses-2020-11-24-Run2,800,800,16.0,0.010952442977577448
own_zscore,ses-2020-11-24-Run2,1600,1600,32.0,-0.05501963570713997
ref_raw,ses-2020-11-24-Run2,1600,1600,32.0,0.022142585506662725
own_zscore,ses-2020-11-24-Run2,3200,1880,37.6,-0.05565124452114105
ref_raw,ses-2020-11-24-Run2,3200,1880,37.6,0.022399011175730267
own_zscore,ses-2020-11-24-Run2,1000000000,1880,37.6,-0.05565124452114105
ref_raw,ses-2020-11-24-Run2,1000000000,1880,37.6,0.022399011175730267
