regime,session,budget_frames,kept_frames,calib_seconds,tcn_coral_r2
own_zscore,ses-2020-10-30-Run1,200,200,4.0,0.2253395555075258
ref_raw,ses-2020-10-30-Run1,200,200,4.0,0.3592136949300766
own_zscore,ses-2020-10-30-Run1,400,400,8.0,0.195139642059803
ref_raw,ses-2020-10-30-Run1,400,400,8.0,0.36072635650634766
own_zscore,ses-2020-10-30-Run1,800,800,16.0,0.20239675659686326
ref_raw,ses-2020-10-30-Run1,800,800,16.0,0.36293972134590147
own_zscore,ses-2020-10-30-Run1,1600,1600,32.0,0.21303031931165606
ref_raw,ses-2020-10-30-Run1,1600,1600,32.0,0.36486791968345644
own_zscore,ses-2020-10-30-Run1,3200,2182,43.6,0.21127851400524378
ref_raw,ses-2020-10-30-Run1,3200,2182,43.6,0.36433514058589933
own_zscore,ses-2020-10-30-Run1,1000000000,2182,43.6,0.21127851400524378
ref_raw,ses-2020-10-30-Run1,1000000000,2182,43.6,0.36433514058589933
own_zscore,ses-2020-10-30-Run2,200,200,4.0,0.1951277270913124
ref_raw,ses-2020-10-30-Run2,200,200,4.0,0.3307399481534958
own_zscore,ses-2020-10-30-Run2,400,400,8.0,0.22174958884716034
ref_raw,ses-2020-10-30-Run2,400,400,8.0,0.3195501178503036
own_zscore,ses-2020-10-30-Run2,800,800,16.0,0.23614497259259223
ref_raw,ses-2020-10-30-Run2,800,800,16.0,0.3122774809598923
own_zscore,ses-2020-10-30-Run2,1600,1600,32.0,0.22328813299536704
ref_raw,ses-2020-10-30-Run2,1600,1600,32.0,0.3199948161840439
own_zscore,ses-2020-10-30-Run2,3200,2040,40.8,0.22909720060415567
ref_raw,ses-2020-10-30-Run2,3200,2040,40.8,0.3194204241037369
own_zscore,ses-2020-10-30-Run2,1000000000,2040,40.8,0.22909720060415567
ref_raw,ses-2020-10-30-Run2,1000000000,2040,40.8,0.3194204241037369
own_zscore,ses-2020-11-18-Run1,200,200,4.0,0.05660557746887207
ref_raw,ses-2020-11-18-Run1,200,200,4.0,0.1714651733636856
own_zscore,ses-2020-11-18-Run1,400,400,8.0,0.028577671945095064
ref_raw,ses-2020-11-18-Run1,400,400,8.0,0.19191616177558898
own_zscore,ses-2020-11-18-Run1,800,800,16.0,0.06608174350112676
ref_raw,ses-2020-11-18-Run1,800,800,16.0,0.20329638123512267
own_zscore,ses-2020-11-18-Run1,1600,1600,32.0,0.05950014144182205
ref_raw,ses-2020-11-18-Run1,1600,1600,32.0,0.19805194735527037
own_zscore,ses-2020-11-18-Run1,3200,2014,40.3,0.0610643520951271
ref_raw,ses-2020-11-18-Run1,3200,2014,40.3,0.19613890647888182
own_zscore,ses-2020-11-18-Run1,1000000000,2014,40.3,0.0610643520951271
