regime,session,budget_frames,kept_frames,calib_seconds,ridge_r2
own_zscore,ses-2020-10-30-Run1,200,200,4.0,0.1612726716660851
ref_raw,ses-2020-10-30-Run1,200,200,4.0,0.1718279724402481
own_zscore,ses-2020-10-30-Run1,400,400,8.0,0.16845908645707194
ref_raw,ses-2020-10-30-Run1,400,400,8.0,0.17073219803681894
own_zscore,ses-2020-10-30-Run1,800,800,16.0,0.17048131116552617
ref_raw,ses-2020-10-30-Run1,800,800,16.0,0.175129070615333
own_zscore,ses-2020-10-30-Run1,1600,1600,32.0,0.1682586481918414
ref_raw,ses-2020-10-30-Run1,1600,1600,32.0,0.17418576983482095
own_zscore,ses-2020-10-30-Run1,3200,2182,43.6,0.16893431403040313
ref_raw,ses-2020-10-30-Run1,3200,2182,43.6,0.1750952578206471
own_zscore,ses-2020-10-30-Run1,1000000000,2182,43.6,0.16893431403040313
ref_raw,ses-2020-10-30-Run1,1000000000,2182,43.6,0.1750952578206471
own_zscore,ses-2020-10-30-Run2,200,200,4.0,0.2374538339358363
ref_raw,ses-2020-10-30-Run2,200,200,4.0,0.24713235794152316
own_zscore,ses-2020-10-30-Run2,400,400,8.0,0.23504219570898882
ref_raw,ses-2020-10-30-Run2,400,400,8.0,0.2477069815156324
own_zscore,ses-2020-10-30-Run2,800,800,16.0,0.2301954003377611
ref_raw,ses-2020-10-30-Run2,800,800,16.0,0.244764156261627
own_zscore,ses-2020-10-30-Run2,1600,1600,32.0,0.23624772966676585
ref_raw,ses-2020-10-30-Run2,1600,1600,32.0,0.2488446814474088
own_zscore,ses-2020-10-30-Run2,3200,2040,40.8,0.2358232028030355
ref_raw,ses-2020-10-30-Run2,3200,2040,40.8,0.24818882264107334
own_zscore,ses-2020-10-30-Run2,1000000000,2040,40.8,0.2358232028030355
ref_raw,ses-2020-10-30-Run2,1000000000,2040,40.8,0.24818882264107334
own_zscore,ses-2020-11-18-Run1,200,200,4.0,0.12123359631157019
ref_raw,ses-2020-11-18-Run1,200,200,4.0,0.10267263966944948
own_zscore,ses-2020-11-18-Run1,400,400,8.0,-5.097241556783552
ref_raw,ses-2020-11-18-Run1,400,400,8.0,0.11157523903353325
own_zscore,ses-2020-11-18-Run1,800,800,16.0,0.1295454028023208
ref_raw,ses-2020-11-18-Run1,800,800,16.0,0.11012837562520991
own_zscore,ses-2020-11-18-Run1,1600,1600,32.0,0.13180839076474515
ref_raw,ses-2020-11-18-Run1,1600,1600,32.0,0.11100673885830754
own_zscore,ses-2020-11-18-Run1,3200,2014,40.3,0.13157201978509067
ref_raw,ses-2020-11-18-Run1,3200,2014,40.3,0.11162864719793722
own_zscore,ses-2020-11-18-Run1,1000000000,2014,40.3,0.13157201978509067
ref_raw,ses-2020-11-18-Run1,1000000000,2014,40.3,0.11162864719793722
own_zscore,ses-2020-11-19-Run1,200,200,4.0,0.06801550048193453
ref_raw,ses-2020-11-19-Run1,200,200,4.0,0.0520336639928762
own_zscore,ses-2020-11-19-Run1,400,400,8.0,0.07541758009441421
ref_raw,ses-2020-11-19-Run1,400,400,8.0,0.057312505854044814
own_zscore,ses-2020-11-19-Run1,800,800,16.0,0.07132117707706886
ref_raw,ses-2020-11-19-Run1,800,800,16.0,0.06709610405139824
own_zscore,ses-2020-11-19-Run1,1600,1600,32.0,0.07136021117300183
ref_raw,ses-2020-11-19-Run1,1600,1600,32.0,0.06373755399115563
own_zscore,ses-2020-11-19-Run1,3200,2436,48.7,0.07232822777889995
ref_raw,ses-2020-11-19-Run1,3200,2436,48.7,0.06351428464042604
own_zscore,ses-2020-11-19-Run1,1000000000,2436,48.7,0.07232822777889995
ref_raw,ses-2020-11-19-Run1,1000000000,2436,48.7,0.06351428464042604
own_zscore,ses-2020-11-24-Run1,200,200,4.0,0.10567230799124236
ref_raw,ses-2020-11-24-Run1,200,200,4.0,0.09744096200394377
own_zscore,ses-2020-11-24-Run1,400,400,8.0,0.1101064801445267
ref_raw,ses-2020-11-24-Run1,400,400,8.0,0.11380147797213065
own_zscore,ses-2020-11-24-Run1,800,800,16.0,0.11417407222726458
ref_raw,ses-2020-11-24-Run1,800,800,16.0,0.11541005595211595
own_zscore,ses-2020-11-24-Run1,1600,1600,32.0,0.11334217528346684
ref_raw,ses-2020-11-24-Run1,1600,1600,32.0,0.11813208264245534
own_zscore,ses-2020-11-24-Run1,3200,1772,35.4,0.1140660779136744
ref_raw,ses-2020-11-24-Run1,3200,1772,35.4,0.11803731772496011
own_zscore,ses-2020-11-24-Run1,1000000000,1772,35.4,0.1140660779136744
ref_raw,ses-2020-11-24-Run1,1000000000,1772,35.4,0.11803731772496011
own_zscore,ses-2020-11-24-Run2,200,200,4.0,-0.04454120608918789
ref_raw,ses-2020-11-24-Run2,200,200,4.0,-0.05141473624473704
own_zscore,ses-2020-11-24-Run2,400,400,8.0,-0.03777898826921404
ref_raw,ses-2020-11-24-Run2,400,400,8.0,-0.043039362293694365
own_zscore,ses-2020-11-24-Run2,800,800,16.0,-0.03822452123421202
ref_raw,ses-2020-11-24-Run2,800,800,16.0,-0.04991688964986406
own_zscore,ses-2020-11-24-Run2,1600,1600,32.0,-0.03629940866062139
ref_raw,ses-2020-11-24-Run2,1600,1600,32.0,-0.04365618266332348
own_zscore,ses-2020-11-24-Run2,3200,1880,37.6,-0.036611285152829076
ref_raw,ses-2020-11-24-Run2,3200,1880,37.6,-0.04573572810193103
own_zscore,ses-2020-11-24-Run2,1000000000,1880,37.6,-0.036611285152829076
ref_raw,ses-2020-11-24-Run2,1000000000,1880,37.6,-0.04573572810193103
