regime,session,budget_frames,kept_frames,calib_seconds,ridge_r2
own_zscore,ses-2020-10-30-Run1,200,200,4.0,0.22443951068434212
ref_raw,ses-2020-10-30-Run1,200,200,4.0,0.2269974542462915
own_zscore,ses-2020-10-30-Run1,400,400,8.0,0.2223474772075124
ref_raw,ses-2020-10-30-Run1,400,400,8.0,0.2364633365076152
own_zscore,ses-2020-10-30-Run1,800,800,16.0,0.2261798213922302
ref_raw,ses-2020-10-30-Run1,800,800,16.0,0.23390318709339203
own_zscore,ses-2020-10-30-Run1,1600,1600,32.0,0.22482630184831504
ref_raw,ses-2020-10-30-Run1,1600,1600,32.0,0.23482567956032013
own_zscore,ses-2020-10-30-Run1,3200,2182,43.6,0.22526730078648455
ref_raw,ses-2020-10-30-Run1,3200,2182,43.6,0.23459836035676288
own_zscore,ses-2020-10-30-Run1,1000000000,2182,43.6,0.22526730078648455
ref_raw,ses-2020-10-30-Run1,1000000000,2182,43.6,0.23459836035676288
own_zscore,ses-2020-10-30-Run2,200,200,4.0,0.24941203065578685
ref_raw,ses-2020-10-30-Run2,200,200,4.0,0.2524475219980987
own_zscore,ses-2020-10-30-Run2,400,400,8.0,0.2625490561553394
ref_raw,ses-2020-10-30-Run2,400,400,8.0,0.25935733912136744
own_zscore,ses-2020-10-30-Run2,800,800,16.0,0.2577290350531494
ref_raw,ses-2020-10-30-Run2,800,800,16.0,0.2630218285223144
own_zscore,ses-2020-10-30-Run2,1600,1600,32.0,0.2577088199634223
ref_raw,ses-2020-10-30-Run2,1600,1600,32.0,0.2636173601238082
own_zscore,ses-2020-10-30-Run2,3200,2040,40.8,0.25871309056950237
ref_raw,ses-2020-10-30-Run2,3200,2040,40.8,0.2644617840528968
own_zscore,ses-2020-10-30-Run2,1000000000,2040,40.8,0.25871309056950237
ref_raw,ses-2020-10-30-Run2,1000000000,2040,40.8,0.2644617840528968
own_zscore,ses-2020-11-18-Run1,200,200,4.0,0.1382675067506986
ref_raw,ses-2020-11-18-Run1,200,200,4.0,0.12854928274450322
own_zscore,ses-2020-11-18-Run1,400,400,8.0,0.14082420059181844
ref_raw,ses-2020-11-18-Run1,400,400,8.0,0.12275662533464518
own_zscore,ses-2020-11-18-Run1,800,800,16.0,0.15067834786007686
ref_raw,ses-2020-11-18-Run1,800,800,16.0,0.12206555542291993
own_zscore,ses-2020-11-18-Run1,1600,1600,32.0,0.14567798714719074
ref_raw,ses-2020-11-18-Run1,1600,1600,32.0,0.12618232999776574
own_zscore,ses-2020-11-18-Run1,3200,2014,40.3,0.14736755336218846
ref_raw,ses-2020-11-18-Run1,3200,2014,40.3,0.12580338257825757
own_zscore,ses-2020-11-18-Run1,1000000000,2014,40.3,0.14736755336218846
ref_raw,ses-2020-11-18-Run1,1000000000,2014,40.3,0.12580338257825757
own_zscore,ses-2020-11-19-Run1,200,200,4.0,0.05824023900469725
ref_raw,ses-2020-11-19-Run1,200,200,4.0,0.028293896709476924
