seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
1,32,4130,ses-2020-10-30-Run1,200,4.0,0.3585705071687698
1,32,4130,ses-2020-10-30-Run1,400,8.0,0.36518022119998933
1,32,4130,ses-2020-10-30-Run1,800,16.0,0.36070542633533476
1,32,4130,ses-2020-10-30-Run1,1600,32.0,0.3592283308506012
1,32,4130,ses-2020-10-30-Run1,3200,43.6,0.35970357060432434
1,32,4130,ses-2020-10-30-Run1,1000000000,43.6,0.35970357060432434
1,32,4130,ses-2020-10-30-Run2,200,4.0,0.24022010266780852
1,32,4130,ses-2020-10-30-Run2,400,8.0,0.2523058280348778
1,32,4130,ses-2020-10-30-Run2,800,16.0,0.25064067393541334
1,32,4130,ses-2020-10-30-Run2,1600,32.0,0.25565915256738664
1,32,4130,ses-2020-10-30-Run2,3200,40.8,0.25508780777454376
1,32,4130,ses-2020-10-30-Run2,1000000000,40.8,0.25508780777454376
1,32,4130,ses-2020-11-18-Run1,200,4.0,0.06578561216592789
1,32,4130,ses-2020-11-18-Run1,400,8.0,0.11430184841156006
1,32,4130,ses-2020-11-18-Run1,800,16.0,0.11863839328289032
1,32,4130,ses-2020-11-18-Run1,1600,32.0,0.11083292961120605
1,32,4130,ses-2020-11-18-Run1,3200,40.3,0.11473896503448486
1,32,4130,ses-2020-11-18-Run1,1000000000,40.3,0.11473896503448486
1,32,4130,ses-2020-11-19-Run1,200,4.0,0.02270539551973343
1,32,4130,ses-2020-11-19-Run1,400,8.0,0.03997292369604111
1,32,4130,ses-2020-11-19-Run1,800,16.0,0.03129603564739227
1,32,4130,ses-2020-11-19-Run1,1600,32.0,0.033789969980716705
1,32,4130,ses-2020-11-19-Run1,3200,48.7,0.037044334411621097
1,32,4130,ses-2020-11-19-Run1,1000000000,48.7,0.037044334411621097
1,32,4130,ses-2020-11-24-Run1,200,4.0,-0.06807586252689361
1,32,4130,ses-2020-11-24-Run1,400,8.0,-0.021991747617721557
1,32,4130,ses-2020-11-24-Run1,800,16.0,-0.003731739521026611
1,32,4130,ses-2020-11-24-Run1,1600,32.0,0.0005473822355270385
1,32,4130,ses-2020-11-24-Run1,3200,35.4,0.0002533972263336182
1,32,4130,ses-2020-11-24-Run1,1000000000,35.4,0.0002533972263336182
1,32,4130,ses-2020-11-24-Run2,200,4.0,-0.04977930039167404
1,32,4130,ses-2020-11-24-Run2,400,8.0,-0.028251472488045694
1,32,4130,ses-2020-11-24-Run2,800,16.0,-0.030115945637226103
1,32,4130,ses-2020-11-24-Run2,1600,32.0,-0.0259430680423975
1,32,4130,ses-2020-11-24-Run2,3200,37.6,-0.030046762712299824
1,32,4130,ses-2020-11-24-Run2,1000000000,37.6,-0.030046762712299824
2,32,4130,ses-2020-10-30-Run1,200,4.0,0.38775079846382143
2,32,4130,ses-2020-10-30-Run1,400,8.0,0.38210509419441224
2,32,4130,ses-2020-10-30-Run1,800,16.0,0.3820686399936676
2,32,4130,ses-2020-10-30-Run1,1600,32.0,0.38332497477531435
2,32,4130,ses-2020-10-30-Run1,3200,43.6,0.3831695169210434
2,32,4130,ses-2020-10-30-Run1,1000000000,43.6,0.3831695169210434
2,32,4130,ses-2020-10-30-Run2,200,4.0,0.2851348251104355
2,32,4130,ses-2020-10-30-Run2,400,8.0,0.2915024131536484
2,32,4130,ses-2020-10-30-Run2,800,16.0,0.2841316133737564
2,32,4130,ses-2020-10-30-Run2,1600,32.0,0.2855547726154327
2,32,4130,ses-2020-10-30-Run2,3200,40.8,0.2874479413032532
2,32,4130,ses-2020-10-30-Run2,1000000000,40.8,0.2874479413032532
2,32,4130,ses-2020-11-18-Run1,200,4.0,0.17427163124084472
2,32,4130,ses-2020-11-18-Run1,400,8.0,0.19759129881858825
2,32,4130,ses-2020-11-18-Run1,800,16.0,0.21709925830364227
2,32,4130,ses-2020-11-18-Run1,1600,32.0,0.20697948336601257
2,32,4130,ses-2020-11-18-Run1,3200,40.3,0.21275964081287385
2,32,4130,ses-2020-11-18-Run1,1000000000,40.3,0.21275964081287385
2,32,4130,ses-2020-11-19-Run1,200,4.0,0.06006340440362692
2,32,4130,ses-2020-11-19-Run1,400,8.0,0.1011239007115364
2,32,4130,ses-2020-11-19-Run1,800,16.0,0.09263493064790965
