config,rf,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
d1,9,1,4130,ses-2020-10-30-Run1,200,4.0,0.3409945428371429
d1,9,1,4130,ses-2020-10-30-Run1,400,8.0,0.35491051971912385
d1,9,1,4130,ses-2020-10-30-Run1,800,16.0,0.35696783363819123
d1,9,1,4130,ses-2020-10-30-Run1,1600,32.0,0.3582994371652603
d1,9,1,4130,ses-2020-10-30-Run1,3200,43.6,0.35970357060432434
d1,9,1,4130,ses-2020-10-30-Run1,1000000000,43.6,0.35970357060432434
d1,9,1,4130,ses-2020-10-30-Run2,200,4.0,0.24351443201303483
d1,9,1,4130,ses-2020-10-30-Run2,400,8.0,0.25406142622232436
d1,9,1,4130,ses-2020-10-30-Run2,800,16.0,0.2585930734872818
d1,9,1,4130,ses-2020-10-30-Run2,1600,32.0,0.24883942753076554
d1,9,1,4130,ses-2020-10-30-Run2,3200,40.8,0.25508780777454376
d1,9,1,4130,ses-2020-10-30-Run2,1000000000,40.8,0.25508780777454376
d1,9,1,4130,ses-2020-11-18-Run1,200,4.0,0.05984835028648376
d1,9,1,4130,ses-2020-11-18-Run1,400,8.0,0.10857055634260178
d1,9,1,4130,ses-2020-11-18-Run1,800,16.0,0.11103493869304656
d1,9,1,4130,ses-2020-11-18-Run1,1600,32.0,0.11442185044288636
d1,9,1,4130,ses-2020-11-18-Run1,3200,40.3,0.11473896503448486
d1,9,1,4130,ses-2020-11-18-Run1,1000000000,40.3,0.11473896503448486
d1,9,1,4130,ses-2020-11-19-Run1,200,4.0,0.043083279579877856
d1,9,1,4130,ses-2020-11-19-Run1,400,8.0,0.011864344775676727
d1,9,1,4130,ses-2020-11-19-Run1,800,16.0,0.0342081218957901
d1,9,1,4130,ses-2020-11-19-Run1,1600,32.0,0.03774498701095581
d1,9,1,4130,ses-2020-11-19-Run1,3200,48.7,0.037044334411621097
d1,9,1,4130,ses-2020-11-19-Run1,1000000000,48.7,0.037044334411621097
d1,9,1,4130,ses-2020-11-24-Run1,200,4.0,-0.019311270117759703
d1,9,1,4130,ses-2020-11-24-Run1,400,8.0,0.005131533741950989
d1,9,1,4130,ses-2020-11-24-Run1,800,16.0,0.00044429004192352294
d1,9,1,4130,ses-2020-11-24-Run1,1600,32.0,-0.0013759702444076539
d1,9,1,4130,ses-2020-11-24-Run1,3200,35.4,0.0002533972263336182
