config,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
plain,1,4130,ses-2020-10-30-Run1,200,4.0,0.3744065880775452
plain,1,4130,ses-2020-10-30-Run1,400,8.0,0.37152708172798155
plain,1,4130,ses-2020-10-30-Run1,800,16.0,0.3737189471721649
plain,1,4130,ses-2020-10-30-Run1,1600,32.0,0.37392409443855285
plain,1,4130,ses-2020-10-30-Run1,3200,43.6,0.3741950809955597
plain,1,4130,ses-2020-10-30-Run1,1000000000,43.6,0.3741950809955597
plain,1,4130,ses-2020-10-30-Run2,200,4.0,0.33813355565071107
plain,1,4130,ses-2020-10-30-Run2,400,8.0,0.343540233373642
plain,1,4130,ses-2020-10-30-Run2,800,16.0,0.34595948457717896
plain,1,4130,ses-2020-10-30-Run2,1600,32.0,0.3454728126525879
plain,1,4130,ses-2020-10-30-Run2,3200,40.8,0.3472612887620926
plain,1,4130,ses-2020-10-30-Run2,1000000000,40.8,0.3472612887620926
plain,1,4130,ses-2020-11-18-Run1,200,4.0,0.16550256535410882
plain,1,4130,ses-2020-11-18-Run1,400,8.0,0.16664586514234542
plain,1,4130,ses-2020-11-18-Run1,800,16.0,0.14817781001329422
plain,1,4130,ses-2020-11-18-Run1,1600,32.0,0.16499556377530097
plain,1,4130,ses-2020-11-18-Run1,3200,40.3,0.16346619427204132
plain,1,4130,ses-2020-11-18-Run1,1000000000,40.3,0.16346619427204132
plain,1,4130,ses-2020-11-19-Run1,200,4.0,0.06999285966157913
plain,1,4130,ses-2020-11-19-Run1,400,8.0,0.08421538472175598
plain,1,4130,ses-2020-11-19-Run1,800,16.0,0.0741032287478447
plain,1,4130,ses-2020-11-19-Run1,1600,32.0,0.06967245936393737
plain,1,4130,ses-2020-11-19-Run1,3200,48.7,0.07379970625042916
plain,1,4130,ses-2020-11-19-Run1,1000000000,48.7,0.07379970625042916
plain,1,4130,ses-2020-11-24-Run1,200,4.0,-0.0161235359730199
plain,1,4130,ses-2020-11-24-Run1,400,8.0,-0.02011772394180298
plain,1,4130,ses-2020-11-24-Run1,800,16.0,-0.0027845266275107862
plain,1,4130,ses-2020-11-24-Run1,1600,32.0,0.00019685439765453338
plain,1,4130,ses-2020-11-24-Run1,3200,35.4,-0.00034939851611852645
plain,1,4130,ses-2020-11-24-Run1,1000000000,35.4,-0.00034939851611852645
plain,1,4130,ses-2020-11-24-Run2,200,4.0,-0.005192534206435085
plain,1,4130,ses-2020-11-24-Run2,400,8.0,-0.029998164251446725
plain,1,4130,ses-2020-11-24-Run2,800,16.0,-0.010982140246778727
plain,1,4130,ses-2020-11-24-Run2,1600,32.0,-0.010296049783937633
plain,1,4130,ses-2020-11-24-Run2,3200,37.6,-0.008414978580549359
plain,1,4130,ses-2020-11-24-Run2,1000000000,37.6,-0.008414978580549359
plain,2,4130,ses-2020-10-30-Run1,200,4.0,0.3614644676446915
plain,2,4130,ses-2020-10-30-Run1,400,8.0,0.3575052827596664
plain,2,4130,ses-2020-10-30-Run1,800,16.0,0.3605210483074188
plain,2,4130,ses-2020-10-30-Run1,1600,32.0,0.3590332746505737
plain,2,4130,ses-2020-10-30-Run1,3200,43.6,0.3596617758274078
plain,2,4130,ses-2020-10-30-Run1,1000000000,43.6,0.3596617758274078
plain,2,4130,ses-2020-10-30-Run2,200,4.0,0.2689707279205322
plain,2,4130,ses-2020-10-30-Run2,400,8.0,0.2765751838684082
plain,2,4130,ses-2020-10-30-Run2,800,16.0,0.27198870182037355
plain,2,4130,ses-2020-10-30-Run2,1600,32.0,0.2724480301141739
plain,2,4130,ses-2020-10-30-Run2,3200,40.8,0.2764125019311905
plain,2,4130,ses-2020-10-30-Run2,1000000000,40.8,0.2764125019311905
plain,2,4130,ses-2020-11-18-Run1,200,4.0,0.15786471366882324
plain,2,4130,ses-2020-11-18-Run1,400,8.0,0.17025865316390992
plain,2,4130,ses-2020-11-18-Run1,800,16.0,0.1488280862569809
plain,2,4130,ses-2020-11-18-Run1,1600,32.0,0.16705611050128938
plain,2,4130,ses-2020-11-18-Run1,3200,40.3,0.16379385590553283
plain,2,4130,ses-2020-11-18-Run1,1000000000,40.3,0.16379385590553283
plain,2,4130,ses-2020-11-19-Run1,200,4.0,0.05553171597421169
plain,2,4130,ses-2020-11-19-Run1,400,8.0,0.051548953354358676
plain,2,4130,ses-2020-11-19-Run1,800,16.0,0.04650502856820822
plain,2,4130,ses-2020-11-19-Run1,1600,32.0,0.04364211577922106
plain,2,4130,ses-2020-11-19-Run1,3200,48.7,0.046656427718698976
plain,2,4130,ses-2020-11-19-Run1,1000000000,48.7,0.046656427718698976
plain,2,4130,ses-2020-11-24-Run1,200,4.0,-0.05730424225330353
plain,2,4130,ses-2020-11-24-Run1,400,8.0,-0.04176985919475555
plain,2,4130,ses-2020-11-24-Run1,800,16.0,-0.018430212140083314
plain,2,4130,ses-2020-11-24-Run1,1600,32.0,-0.011193504929542542
