config,seed,nparam,session,budget_frames,ref_raw_r2
plain,1,4130,ses-2020-10-30-Run1,200,0.4140702039003372
plain,1,4130,ses-2020-10-30-Run1,400,0.3761711806058884
plain,1,4130,ses-2020-10-30-Run1,800,0.3868351548910141
plain,1,4130,ses-2020-10-30-Run1,1600,0.38834552764892577
plain,1,4130,ses-2020-10-30-Run1,3200,0.3878563493490219
plain,1,4130,ses-2020-10-30-Run1,1000000000,0.3878563493490219
plain,1,4130,ses-2020-10-30-Run2,200,0.27316770851612093
plain,1,4130,ses-2020-10-30-Run2,400,0.27595943212509155
plain,1,4130,ses-2020-10-30-Run2,800,0.28015878051519394
plain,1,4130,ses-2020-10-30-Run2,1600,0.2837721616029739
plain,1,4130,ses-2020-10-30-Run2,3200,0.2826461836695671
plain,1,4130,ses-2020-10-30-Run2,1000000000,0.2826461836695671
plain,1,4130,ses-2020-11-18-Run1,200,0.13485637605190276
plain,1,4130,ses-2020-11-18-Run1,400,0.10366864502429962
plain,1,4130,ses-2020-11-18-Run1,800,0.1531591832637787
plain,1,4130,ses-2020-11-18-Run1,1600,0.15095318853855133
plain,1,4130,ses-2020-11-18-Run1,3200,0.15222450196743012
plain,1,4130,ses-2020-11-18-Run1,1000000000,0.15222450196743012
plain,1,4130,ses-2020-11-19-Run1,200,0.04905503541231156
plain,1,4130,ses-2020-11-19-Run1,400,0.041647139191627505
plain,1,4130,ses-2020-11-19-Run1,800,0.04341010600328445
plain,1,4130,ses-2020-11-19-Run1,1600,0.040349721908569336
plain,1,4130,ses-2020-11-19-Run1,3200,0.04382820576429367
plain,1,4130,ses-2020-11-19-Run1,1000000000,0.04382820576429367
plain,1,4130,ses-2020-11-24-Run1,200,0.04762197434902191
plain,1,4130,ses-2020-11-24-Run1,400,0.05338127613067627
plain,1,4130,ses-2020-11-24-Run1,800,0.06299304068088532
plain,1,4130,ses-2020-11-24-Run1,1600,0.07590020298957825
plain,1,4130,ses-2020-11-24-Run1,3200,0.07634929120540619
plain,1,4130,ses-2020-11-24-Run1,1000000000,0.07634929120540619
plain,1,4130,ses-2020-11-24-Run2,200,-0.061130572110414505
plain,1,4130,ses-2020-11-24-Run2,400,-0.07456767037510872
plain,1,4130,ses-2020-11-24-Run2,800,-0.06083205491304398
plain,1,4130,ses-2020-11-24-Run2,1600,-0.06764457896351814
plain,1,4130,ses-2020-11-24-Run2,3200,-0.06723255962133408
plain,1,4130,ses-2020-11-24-Run2,1000000000,-0.06723255962133408
plain,2,4130,ses-2020-10-30-Run1,200,0.36350480318069456
plain,2,4130,ses-2020-10-30-Run1,400,0.35270336270332336
plain,2,4130,ses-2020-10-30-Run1,800,0.3574687361717224
plain,2,4130,ses-2020-10-30-Run1,1600,0.3605975121259689
plain,2,4130,ses-2020-10-30-Run1,3200,0.3596617758274078
plain,2,4130,ses-2020-10-30-Run1,1000000000,0.3596617758274078
plain,2,4130,ses-2020-10-30-Run2,200,0.2570736363530159
plain,2,4130,ses-2020-10-30-Run2,400,0.266469219326973
plain,2,4130,ses-2020-10-30-Run2,800,0.27222179174423217
plain,2,4130,ses-2020-10-30-Run2,1600,0.27620498538017274
plain,2,4130,ses-2020-10-30-Run2,3200,0.2764125019311905
plain,2,4130,ses-2020-10-30-Run2,1000000000,0.2764125019311905
plain,2,4130,ses-2020-11-18-Run1,200,0.1534737229347229
plain,2,4130,ses-2020-11-18-Run1,400,0.11890484690666199
plain,2,4130,ses-2020-11-18-Run1,800,0.16786048114299773
plain,2,4130,ses-2020-11-18-Run1,1600,0.16091072261333467
